	race	current_location	sex	birthdate	blood_group	ssn	job	name	residence
915	Black	(Decimal('63.756177'), Decimal('-10.072967'))	M	12/26/1925, 00:00:00	A+	826-29-7658	Public affairs consultant	Jim Smith	"1055 Michael Key Apt. 651
Lake Jamie, FL 45750"
916	White	(Decimal('28.123044'), Decimal('1.267759'))	M	1908/05/05	AB+	740-87-7351	Private music teacher	Jonathon Sandoval	"98955 Rose Orchard Suite 353
New Jesse, WY 80415"
917	White	(Decimal('-3.212962'), Decimal('62.761431'))	F	04/23/2013, 00:00:00	A+	480-20-2930	Colour technologist	Teresa Davis	"892 Joshua Square
Dennisland, ME 16386"
918	black	(Decimal('7.145215'), Decimal('138.272262'))	M	2000-01-27	A+	355-07-1081	Civil engineer, consulting	Brian Conway	"3028 White Ville
East Christinastad, GA 27695"
919	Hawaiian	(Decimal('-68.5232085'), Decimal('161.345622'))	M	31 Dec 1905	B+	224-81-1219	Theatre manager	David Reed	"86024 Albert Pines Apt. 068
Port Patriciaborough, NH 56733"
920	White	(Decimal('28.920933'), Decimal('15.804692'))	F	1922/10/16	A-	124-99-7936	Horticultural therapist	Erica Knight	"37690 Jennifer Street
Port Amyfurt, MO 16285"
921	White	(Decimal('66.5878205'), Decimal('-125.548551'))	F	02 May 1913	AB+	297-46-1757	Investment banker, corporate	Danielle Jacobson	"58750 Lynch Harbor
Derekfurt, MA 79309"
922	Black	(Decimal('56.5777035'), Decimal('89.373636'))	M	27 Oct 1966	B-	387-63-1569	Community pharmacist	Gene Carpenter	"USCGC Walker
FPO AE 12091"
923	White	(Decimal('53.3018745'), Decimal('-116.374450'))	M	1950-10-27	O-	656-21-1856	Radiation protection practitioner	Bryan Elliott	"PSC 1076, Box 4436
APO AE 41131"
924	Black	(Decimal('23.6355085'), Decimal('170.847847'))	M	1993/07/15	AB-	505-73-2639	Conservation officer, historic buildings	Anthony Davis	"54442 Montoya Vista
Anthonyport, MN 55813"
925	Black	(Decimal('-2.3253675'), Decimal('69.640817'))	M	07 Nov 1907	A-	795-14-2822	Nurse, mental health	Randy Huerta	"31944 Melinda Highway Suite 681
Robertmouth, DC 98412"
926	Hawaiian	(Decimal('-12.2627375'), Decimal('-41.103331'))	F	2004-04-07	O+	866-36-9454	Geneticist, molecular	Erin Miller	"331 Rangel Crossroad Suite 362
Port Maryburgh, HI 43350"
927	black	(Decimal('-68.2555975'), Decimal('-70.497025'))	F	1940/11/07	B+	720-87-0604	Producer, radio	Jennifer Ford	"0829 White Row
New Marctown, LA 09230"
928	Indian	(Decimal('84.9593235'), Decimal('100.172726'))	M	2011/06/17	O-	600-41-4832	Designer, blown glass/stained glass	Edward Bell	"5710 Rosales Extension
West Julieside, NC 93655"
929	white	(Decimal('-27.0055985'), Decimal('-130.033214'))	F	2020/09/25	B+	140-36-4385	Social research officer, government	Michelle Rosales	"568 Scott Vista
New Kimberly, HI 07809"
930	White	(Decimal('37.2484745'), Decimal('-12.635283'))	M	03 Jul 1918	AB-	168-02-9622	Quarry manager	James Gomez	"1223 Christine Fort Suite 136
West Jessica, OR 84605"
931	Hawaiian	(Decimal('-54.8979175'), Decimal('-78.228347'))	F	03 Feb 2019	B+	182-48-5793	Optometrist	Rebecca Carter	"43265 Bell Lock Apt. 300
Roachberg, NC 14405"
932	White	(Decimal('11.699673'), Decimal('-176.848761'))	M	31 Dec 1957	B+	589-90-9015	Barrister	Richard Montgomery	"Unit 8105 Box 7679
DPO AA 61028"
933	White	(Decimal('-82.5500085'), Decimal('56.024579'))	F	1952-12-21	O+	591-40-0981	Tourism officer	Patricia Mueller	"839 Smith Mount Suite 066
Port Zachary, CA 98081"
934	Black	(Decimal('69.8096245'), Decimal('45.810778'))	F	1988-11-01	B-	192-50-2742	Film/video editor	Kristin Deleon	"370 Lopez Unions Apt. 332
New Cindy, OK 58242"
935	Indian	(Decimal('46.1592525'), Decimal('-44.308860'))	M	07/05/1969, 00:00:00	A-	876-86-8145	Psychotherapist	William Johnson	"6927 Kevin Orchard Apt. 933
Timothyshire, KS 14452"
936	Black	(Decimal('-4.2418865'), Decimal('73.057461'))	F	2013/05/21	O+	818-59-1461	Cartographer	Linda Turner	"40951 Ramirez Shoal Suite 423
East Suzannefurt, CA 13584"
937	Asian	(Decimal('-10.9770095'), Decimal('-138.497480'))	F	05/06/1995, 00:00:00	B+	669-70-7506	Geochemist	Carol Freeman	"PSC 2076, Box 6891
APO AA 42253"
938	Hawaiian	(Decimal('23.753429'), Decimal('-96.863894'))	F	02 Jan 1954	O-	207-31-5018	Chartered certified accountant	Cassandra Salazar	"339 Danielle Court
Thomasshire, DE 06146"
939	White	(Decimal('-30.434524'), Decimal('-93.513172'))	M	08 Jun 1996	O+	736-17-4607	Engineer, maintenance (IT)	Thomas Wells	"88509 Becker Mills Apt. 140
West Peterview, AZ 84810"
940	Asian	(Decimal('-79.382242'), Decimal('-125.408554'))	M	06/04/1966, 00:00:00	AB-	843-67-2511	Pharmacist, hospital	Timothy Sanchez	"97270 Sherman Stream Suite 456
Port Karen, NM 45402"
941	White	(Decimal('-64.164943'), Decimal('176.118102'))	M	12/19/1922, 00:00:00	AB-	124-58-9711	Medical illustrator	Dr. Jason Arnold DDS	"42787 John Curve Apt. 207
Jonathanbury, NV 02000"
942	Asian	(Decimal('-27.555964'), Decimal('-43.411049'))	M	1947/01/19	AB+	221-26-4891	Games developer	Jason Young	"3822 Nicole Field
East Mary, ME 36628"
943	White	(Decimal('-13.7356815'), Decimal('27.707810'))	M	1931/09/07	B+	314-80-7338	Manufacturing engineer	Benjamin Thomas	"2564 Stephens Junction Suite 414
East Dylanstad, NE 98393"
944	White	(Decimal('8.5918115'), Decimal('147.658652'))	M	03 Dec 1936	B-	153-49-0548	Financial controller	Joseph Dickerson	"6936 Myers Roads Suite 248
Stephenburgh, MT 36160"
945	Black	(Decimal('-36.7094505'), Decimal('-6.932801'))	F	01 May 2002	O+	502-63-3201	Planning and development surveyor	Melanie Dixon	"3822 Jason Crossing Suite 116
Jacobview, TN 22519"
946	Hawaiian	(Decimal('-68.385022'), Decimal('17.277854'))	M	17 Jan 1995	A-	804-26-4209	Designer, textile	Charles Russell	"448 John Common Suite 278
Port Michelle, NJ 93150"
947	Indian	(Decimal('17.472173'), Decimal('21.601420'))	F	10 Jan 1952	O+	837-05-6578	Biochemist, clinical	Jenny Jenkins	"94511 Brown Throughway Suite 393
Larafort, OR 93360"
948	White	(Decimal('-74.277414'), Decimal('-94.735433'))	M	05 May 1950	O+	694-79-8717	Fast food restaurant manager	Angel Duncan	"8540 Ward Pines
Desireetown, IN 17442"
949	White	(Decimal('-26.7030795'), Decimal('133.648891'))	M	04/05/1913, 00:00:00	O+	111-42-7468	Proofreader	Ryan Harrison	"8589 Hanson Turnpike Suite 908
Port Jasonfort, CT 16531"
950	Hawaiian	(Decimal('-43.9945815'), Decimal('116.532122'))	F	09/08/1963, 00:00:00	B-	067-61-7295	Paediatric nurse	Pamela Alexander	"4095 Thomas Glen
Lake Erinchester, HI 85915"
951	Black	(Decimal('-62.203196'), Decimal('111.390881'))	M	11/22/2017, 00:00:00	AB+	251-41-4037	Television/film/video producer	Nicholas Olsen	"5359 Cole Highway Suite 622
South Roger, CA 34762"
952	Asian	(Decimal('57.8072005'), Decimal('53.068552'))	F	1943-09-21	O-	574-76-9484	Designer, furniture	Catherine Webb	"0215 Robert Springs
New Joel, NY 06203"
953	Hawaiian	(Decimal('11.078789'), Decimal('34.596643'))	M	1968/02/17	AB-	717-32-9586	Fashion designer	Phillip Espinoza	"372 Noah Tunnel
Webbberg, KY 90194"
954	White	(Decimal('-86.526335'), Decimal('78.162949'))	F	13 Dec 1988	O+	538-12-0907	Scientist, research (maths)	Catherine Tyler	"0741 Stone Lane Suite 749
West Matthew, NH 29365"
955	Black	(Decimal('-7.4926905'), Decimal('-24.036930'))	F	2017-01-02	A+	132-75-7000	Advertising copywriter	Erica Parker	"8253 Sara Islands
Williammouth, TN 96830"
956	Black	(Decimal('17.6059055'), Decimal('-106.474881'))	M	2018/05/07	A+	194-87-1903	Civil Service administrator	Matthew Macdonald MD	"6348 Russo Union
Lake Elizabethport, IA 34040"
957	Black	(Decimal('38.417330'), Decimal('-33.540774'))	F	04 Dec 1915	AB+	626-06-6274	Fitness centre manager	Stephanie Cline DDS	"5768 Denise Mews Suite 538
Mariaville, AR 47026"
958	Asian	(Decimal('62.787704'), Decimal('-133.696028'))	F	1932-01-25	O-	469-92-5847	Corporate investment banker	Meghan Singleton	"8665 Marquez Cliff
Gonzalezville, IA 81706"
959	White	(Decimal('69.215334'), Decimal('67.460035'))	M	01 Apr 2021	A-	685-50-7122	Merchant navy officer	Benjamin Mendoza	"3024 Julie Coves
Smithshire, NY 72770"
960	White	(Decimal('-64.7893615'), Decimal('-105.866081'))	M	10/05/1963, 00:00:00	AB-	646-24-1751	Metallurgist	Craig Orr	"23492 Anderson Station
Whitemouth, LA 28261"
961	Indian	(Decimal('23.3676535'), Decimal('121.020472'))	M	2020/09/25	A+	210-93-7095	Engineer, electronics	Michael Davis	"69041 David Spring Suite 197
North Dale, NY 64390"
962	Black	(Decimal('69.344147'), Decimal('-2.959992'))	M	1971/01/26	AB+	619-92-4402	Leisure centre manager	Alejandro Hurst DDS	"3962 Gamble Plaza
North Kenneth, NH 52622"
963	Indian	(Decimal('22.889587'), Decimal('-38.868054'))	M	03 Aug 1937	B-	275-37-9458	TEFL teacher	Christopher Glover	"84948 Taylor Courts Apt. 549
Stephensonshire, MS 97305"
964	Indian	(Decimal('76.6433685'), Decimal('98.984082'))	F	11/09/2009, 00:00:00	A+	628-14-1882	Scientist, research (maths)	Robin Wang	"Unit 7920 Box 3154
DPO AA 10433"
965	White	(Decimal('28.9542085'), Decimal('55.241935'))	M	1992/03/08	O+	343-93-1653	Editorial assistant	Blake Sanchez	"5613 Ali Valleys Apt. 520
Heatherland, NY 61924"
966	White	(Decimal('-85.9041205'), Decimal('-163.801208'))	M	09/11/1959, 00:00:00	B+	088-53-6046	Computer games developer	Brian Forbes	"75208 Carroll Rue Suite 925
Markstad, NJ 29319"
967	Asian	(Decimal('-17.964603'), Decimal('171.721440'))	F	1926-07-20	B-	803-91-7314	Hydrographic surveyor	Cynthia Hamilton	"149 Nathan Fords Apt. 552
Lake Matthew, WY 00958"
968	Black	(Decimal('13.519170'), Decimal('-145.164137'))	F	2012/09/11	AB+	057-74-9434	Teacher, secondary school	Tracy Alvarez	"7826 Perry Creek
Raymondview, WI 81801"
969	Black	(Decimal('29.3430055'), Decimal('106.889355'))	F	2011/09/28	O-	081-34-0449	Music tutor	Melissa Saunders	"470 Nichole Fork
Gomezburgh, NV 53405"
970	White	(Decimal('-27.923041'), Decimal('163.973482'))	F	1990/11/16	A-	085-55-4039	Herpetologist	Julia Harris	"Unit 2459 Box 6272
DPO AA 24011"
971	Black	(Decimal('6.1122905'), Decimal('174.649566'))	F	06/07/1949, 00:00:00	AB+	571-16-4549	Marketing executive	Laura Williams	"86945 Faith Lane
Port Patrick, CT 82700"
972	White	(Decimal('-45.7942895'), Decimal('-50.895880'))	F	2004/09/21	AB-	861-40-3381	Radiographer, diagnostic	Joanna Alexander	"Unit 2725 Box 2723
DPO AE 12249"
973	White	(Decimal('-15.0684195'), Decimal('60.731411'))	M	1971/05/16	AB-	189-91-5072	Curator	James Rodriguez	"975 Andrew Expressway Apt. 356
Simmonsview, NV 93194"
974	White	(Decimal('62.2343835'), Decimal('125.432966'))	M	1924-02-19	B-	131-14-1353	Television floor manager	David Huff	"29045 Adam Mill
West Stephenborough, WI 14077"
975	White	(Decimal('-21.0208315'), Decimal('-10.978294'))	F	1978-07-11	O-	810-82-8513	Water quality scientist	Suzanne Hurley	"2548 Max Ranch
Sandrashire, VT 18813"
976	White	(Decimal('40.876282'), Decimal('129.025004'))	F	02/16/2016, 00:00:00	B+	281-97-6607	Politician's assistant	Andrea Palmer	"502 Kelly Junctions Apt. 284
Christopherbury, AZ 34761"
977	White	(Decimal('73.6604635'), Decimal('143.235793'))	F	06/02/1973, 00:00:00	AB-	031-15-9455	Research scientist (maths)	Diane Gray	"1035 Fisher Highway Suite 517
Samanthaborough, AL 84359"
978	White	(Decimal('-28.3001315'), Decimal('19.925138'))	F	30 Mar 1992	AB+	517-10-9468	Writer	Angel Ferguson	"77846 Kimberly Place
West Edwinfort, NV 60955"
979	White	(Decimal('57.3181045'), Decimal('-67.546063'))	F	1972/08/10	AB+	672-60-1219	English as a foreign language teacher	Maria Smith	"22584 Kristen Loop Suite 644
East Adrian, DC 06122"
980	White	(Decimal('71.458493'), Decimal('-132.290562'))	M	1958/08/27	O-	409-88-6369	Designer, graphic	William Durham	"3745 Patton Summit Suite 591
North Kevin, NV 90903"
981	white	(Decimal('5.232506'), Decimal('-152.257067'))	M	05 Feb 2000	A+	734-78-3853	Armed forces operational officer	George Davis	"416 Wilson Throughway Apt. 739
East Sarahshire, LA 11279"
982	White	(Decimal('81.007925'), Decimal('24.282943'))	F	10/21/1989, 00:00:00	A-	321-87-1931	Community education officer	Elizabeth Clark	"670 Garcia Streets
Jeffreyburgh, ND 20711"
983	Asian	(Decimal('-7.3576705'), Decimal('-64.640581'))	F	15 Feb 1962	A-	747-04-3082	Public affairs consultant	Mrs. Darlene Miller	"6529 Morgan Land Apt. 197
Meganmouth, ME 05926"
984	Black	(Decimal('-9.580344'), Decimal('116.168120'))	F	1910-05-03	B+	617-88-1383	Insurance risk surveyor	Cheyenne Bowman	"5441 Madison Views Apt. 704
New Makaylatown, CO 26081"
985	blsck	(Decimal('81.6994835'), Decimal('-121.603048'))	F	1944/11/02	AB-	429-75-7185	Technical author	Sara Montoya	"PSC 1101, Box 1800
APO AA 32872"
986	Black	(Decimal('-89.913510'), Decimal('-4.389338'))	M	27 Oct 1963	A-	663-03-7565	Scientist, research (physical sciences)	Jason Williamson	"17501 Jason Lakes Suite 625
Gayshire, TX 43854"
987	White	(Decimal('43.442714'), Decimal('63.265991'))	M	28 Nov 1920	B+	371-89-0179	Drilling engineer	Andrew Wilson	"11673 Wilson Ridge Apt. 269
Kevinland, IL 10538"
988	White	(Decimal('-65.881411'), Decimal('70.890609'))	F	1944-12-07	A+	881-19-1607	Museum/gallery conservator	April Cox	"2956 Thompson Streets Apt. 841
Angelamouth, NE 80291"
989	Indian	(Decimal('78.7832995'), Decimal('35.475853'))	M	12/26/1978, 00:00:00	O-	311-59-3397	Broadcast presenter	Alexander Miller	"8318 Melissa Pine
Sarahville, OK 63597"
990	Black	(Decimal('-27.5460065'), Decimal('147.739646'))	M	05 Mar 2012	O+	613-57-3617	Field seismologist	Alan Hill	"14614 Peterson Vista
South Debrahaven, DC 70624"
991	White	(Decimal('-37.698834'), Decimal('77.000802'))	M	1950-05-14	A+	563-13-7226	Energy engineer	Blake Morgan	"4035 Jennifer Stream Suite 335
East Dianaland, MO 11786"
992	Indian	(Decimal('18.951579'), Decimal('-8.349569'))	F	1994-07-05	A+	047-56-6638	Structural engineer	Sharon Schroeder	"41772 Gerald Corners Apt. 620
Arnoldburgh, HI 45755"
993	White	(Decimal('-68.512571'), Decimal('8.538950'))	M	20 Mar 2001	AB+	409-57-5099	Chiropractor	Christopher Briggs	"20553 Miller Green Apt. 435
South Mary, MS 70901"
994	White	(Decimal('-85.678836'), Decimal('153.989197'))	F	1967-02-19	A-	803-06-7181	Museum/gallery conservator	Tina Webb	"0130 Bennett Rest Suite 303
North Ronald, ND 08071"
995	White	(Decimal('-53.787988'), Decimal('-34.308217'))	F	1967/08/04	AB-	825-59-2207	Health service manager	Erin Landry	"6725 Thomas Mews Apt. 123
Lake Johnstad, FL 95423"
996	White	(Decimal('-46.5741485'), Decimal('46.507589'))	F	1925/11/26	AB-	858-46-0381	Further education lecturer	Sandra Knox	"12022 Grant Orchard
North Kevinshire, WA 43921"
997	White	(Decimal('-11.1890315'), Decimal('-152.595292'))	M	30 Mar 1916	A+	345-33-2098	Quarry manager	William Stewart	"5570 Williams Views
Tracybury, VA 60368"
998	White	(Decimal('-4.7056885'), Decimal('5.737267'))	F	2003/02/23	A-	495-25-5995	Surgeon	Traci Burns	"9829 Martinez Expressway Suite 082
Alyssaport, WI 90527"
999	Black	(Decimal('77.488406'), Decimal('57.577659'))	F	1960/02/21	B-	465-46-8074	Engineer, civil (contracting)	Nicole Thomas	"8455 Thomas Stravenue
Elijahfurt, ND 07577"
1000	Asian	(Decimal('35.9067865'), Decimal('-75.022383'))	M	1946/12/09	O+	068-87-9749	Manufacturing systems engineer	Matthew Vang	"PSC 4025, Box 6880
APO AA 75354"
1001	Black	(Decimal('17.4993465'), Decimal('79.200266'))	M	07/15/2000, 00:00:00	AB+	015-23-7971	Geoscientist	Jason Jensen	"84424 Brown Manors Suite 905
Tammybury, MT 01225"
1002	White	(Decimal('44.573421'), Decimal('93.461432'))	F	02 Nov 1977	O+	547-77-3749	Radio broadcast assistant	Jennifer Scott	"331 King Wall Suite 684
East Rachel, WI 02600"
1003	Black	(Decimal('-67.211993'), Decimal('-166.884288'))	F	11/01/1985, 00:00:00	A+	743-65-2310	Architect	Dawn Little	"5505 Scott Forks Apt. 117
Nicholsberg, ID 86733"
1004	Hawaiian	(Decimal('-27.578782'), Decimal('58.485825'))	F	28 Dec 2001	B-	554-44-0976	Occupational therapist	Marie Hines	"0395 Johnson Harbors
Pughside, IA 72325"
1005	Black	(Decimal('-49.563136'), Decimal('-122.889465'))	M	02/02/1974, 00:00:00	A+	259-25-2085	Therapist, sports	Brian Eaton	"840 Katie Square Apt. 170
Port Janethaven, SD 04358"
1006	White	(Decimal('-79.4828305'), Decimal('-18.297245'))	M	01/28/1979, 00:00:00	O+	491-31-9116	Plant breeder/geneticist	Christopher Rodriguez	"40036 Shepard Path
Davidmouth, AK 26767"
1007	White	(Decimal('-0.433154'), Decimal('129.619541'))	M	02 Aug 1913	O-	439-62-3712	Broadcast journalist	Brian Meyer	"5812 Smith Lodge Suite 940
Port Amyside, VT 01004"
1008	White	(Decimal('-64.8893525'), Decimal('-43.442610'))	M	03 Mar 1976	A-	316-57-7559	Product designer	Michael Logan	"56984 Green Point Apt. 771
Hicksborough, TX 71307"
1009	Asian	(Decimal('-41.1143135'), Decimal('126.387946'))	F	29 Jul 1995	AB-	753-86-7272	Claims inspector/assessor	Mrs. Rachel Oneill MD	"Unit 8129 Box 6337
DPO AA 50497"
1010	Black	(Decimal('-51.335461'), Decimal('141.860807'))	M	2013-10-13	O-	759-52-7540	Visual merchandiser	Bobby Campbell	"09951 Raymond Ville Apt. 597
New Dennistown, NH 95405"
1011	White	(Decimal('18.959753'), Decimal('72.061558'))	M	1998-09-04	B+	601-36-1090	Jewellery designer	Parker Wilson	"11888 Craig Glens
Elizabethhaven, RI 06328"
1012	Black	(Decimal('-89.060193'), Decimal('-87.938637'))	F	14 Dec 2002	B+	236-75-2316	Lighting technician, broadcasting/film/video	Amy Small	"6121 Steven Mission Apt. 455
New Jamie, VT 28793"
1013	White	(Decimal('63.645044'), Decimal('126.797538'))	F	09/03/1928, 00:00:00	B+	668-23-0978	Press sub	Tammy Cruz	"13819 Ashley Branch Suite 593
West Codyside, VA 99022"
1014	White	(Decimal('-57.7702295'), Decimal('112.823533'))	M	16 Aug 1907	B-	408-57-5439	Buyer, industrial	Michael Smith	"68397 Douglas Fort Apt. 736
Lake Troy, IA 68161"
1015	Indian	(Decimal('-15.4411155'), Decimal('142.560482'))	F	1997/11/21	AB+	472-19-2395	Industrial/product designer	Kathryn Padilla	"8062 Devin Row Apt. 034
Rodriguezhaven, ND 98361"
1016	Asian	(Decimal('48.247217'), Decimal('126.437585'))	F	1941-01-15	A+	300-92-0655	Hydrologist	Sarah Smith	"36020 Jennifer Ports Suite 937
West Sandramouth, VT 57588"
1017	Asian	(Decimal('32.811673'), Decimal('77.848600'))	M	05/29/1922, 00:00:00	A-	195-28-6205	Musician	Jordan Hughes	"734 Hernandez Via Suite 629
East Elizabeth, ME 23368"
1018	Asian	(Decimal('-33.743725'), Decimal('50.720888'))	F	2014/02/21	O+	597-76-7034	Fashion designer	Ashley Rogers	"6182 James Trail Suite 302
West Cassidyton, UT 68890"
1019	Black	(Decimal('87.6431105'), Decimal('60.555867'))	F	1959/04/22	O-	670-79-2548	Materials engineer	Linda Davis	"1453 Ward Mall Suite 635
New Scott, TX 64893"
1020	White	(Decimal('-54.699661'), Decimal('19.930079'))	F	12/03/1933, 00:00:00	AB-	326-12-6532	Food technologist	Debbie Archer	"9885 Jennifer Tunnel
East Maureenfurt, NE 92610"
1021	White	(Decimal('-82.3045765'), Decimal('85.104197'))	F	1934-05-03	O-	671-80-1268	Veterinary surgeon	Jacqueline Massey	"Unit 5863 Box 0810
DPO AA 26287"
1022	Asian	(Decimal('-19.342186'), Decimal('140.929052'))	M	1944-12-30	B+	898-39-3069	Town planner	Micheal Campos	"116 Gregory Spur Apt. 689
Port Sarah, OH 37360"
1023	Black	(Decimal('22.6954835'), Decimal('-122.919148'))	F	1911-06-28	A-	489-63-3375	Film/video editor	Kristen Leonard	"242 Brianna Locks Apt. 333
Alecville, RI 53910"
1024	White	(Decimal('-0.1944265'), Decimal('21.809982'))	M	1986-04-05	A+	878-57-5738	Secretary, company	Dennis Spears	"56258 Melissa Fort
Brianchester, AZ 65223"
1025	White	(Decimal('15.3560775'), Decimal('156.618002'))	M	06/01/2005, 00:00:00	A-	273-01-2465	Surveyor, hydrographic	Joshua Schmidt	"0032 Sheppard Keys
New Susan, IN 17456"
1026	White	(Decimal('33.1694255'), Decimal('158.317123'))	M	1945/05/27	B+	548-53-6745	Secondary school teacher	Tyler Johnson	"5382 Vanessa Fork Apt. 654
Mcdonaldtown, SD 25943"
1027	Asian	(Decimal('-14.552804'), Decimal('-62.726594'))	M	09/28/1976, 00:00:00	A+	774-88-9817	Database administrator	Jordan Herrera	"USNS Matthews
FPO AE 29579"
1028	White	(Decimal('-4.1994745'), Decimal('134.595084'))	F	17 Mar 1951	B-	468-20-1204	Print production planner	Samantha Cook	"1630 Robinson Freeway
North Lorichester, NC 21986"
1029	Asian	(Decimal('-54.004632'), Decimal('-154.909909'))	F	09/20/1925, 00:00:00	B+	434-15-2732	Data scientist	Mary Warren	"26768 Kelly Club Suite 810
Laurenville, SC 35793"
1030	white	(Decimal('-15.089511'), Decimal('-149.758416'))	F	15 Feb 1971	AB+	708-94-7139	Scientist, audiological	Elizabeth Martin	"414 Jeremiah Ford Apt. 823
Maldonadohaven, MI 75121"
1031	Black	(Decimal('36.618709'), Decimal('-177.976352'))	M	1986-07-07	AB+	419-14-6254	Patent attorney	Derek Lopez	"31566 Torres Forest
Johnsonville, IN 24826"
1032	White	(Decimal('13.1914675'), Decimal('-56.420375'))	M	07/23/1986, 00:00:00	AB+	024-16-0756	Chief Technology Officer	Gary Rowland	"619 Joseph Prairie
New Jennifershire, AL 41339"
1033	Hawaiian	(Decimal('-63.7344515'), Decimal('134.650794'))	F	11/20/2006, 00:00:00	AB+	772-95-1558	Diplomatic Services operational officer	Laurie Randolph	"051 Cline Valley
Camposbury, IN 69100"
1034	Black	(Decimal('29.084405'), Decimal('164.575783'))	F	17 Nov 1951	A-	742-33-6028	Set designer	Jennifer Flores	"USS Landry
FPO AE 73493"
1035	White	(Decimal('42.0929045'), Decimal('-22.357488'))	F	1939/07/30	AB+	638-45-6771	Sales promotion account executive	Julia Shaffer	"8936 Warren Shores
East Tamaraburgh, ID 54512"
1036	White	(Decimal('38.148896'), Decimal('88.637161'))	M	26 Dec 1988	O+	831-13-1332	Administrator, arts	Bradley Torres	"906 Curry Valleys Suite 203
Tapiaside, WY 24088"
1037	White	(Decimal('51.4474955'), Decimal('143.290999'))	M	06/19/1996, 00:00:00	AB-	160-62-9903	Engineer, civil (contracting)	John Jimenez	"29259 Robinson Loaf Apt. 089
Territon, AK 54200"
1038	White	(Decimal('-44.3041815'), Decimal('-142.588801'))	M	03/26/2013, 00:00:00	A+	619-27-9075	Teacher, English as a foreign language	Joel Chandler	"71214 Olson Manor
North Joshuachester, MN 45065"
1039	Black	(Decimal('-20.7941545'), Decimal('-65.254478'))	M	01/09/1910, 00:00:00	A-	020-31-9612	Personal assistant	Colin Hess	"3383 Mills Vista Apt. 592
Toddville, WV 77320"
1040	White	(Decimal('63.3756775'), Decimal('-13.846487'))	F	05 May 1984	AB-	821-34-3591	Adult nurse	Tiffany Acevedo	"4861 Good Road
New Raymond, NH 13931"
1041	Asian	(Decimal('-21.674520'), Decimal('6.332776'))	M	11/14/1926, 00:00:00	A+	273-22-8174	Scientist, research (maths)	Jimmy Butler	"9330 Guerrero Rapids
East Rhondabury, UT 85747"
1042	black	(Decimal('-54.615613'), Decimal('-40.502824'))	M	2014/09/16	B+	537-70-2109	Lawyer	Craig Cunningham	"82102 Levine Mountain Suite 163
Loriberg, IA 40686"
1043	White	(Decimal('21.3337235'), Decimal('-166.308749'))	F	10/11/1938, 00:00:00	B+	880-62-7909	Museum/gallery exhibitions officer	Linda Snyder	"552 Campbell Locks
Hermanstad, LA 87921"
1044	Black	(Decimal('76.245288'), Decimal('-87.708429'))	F	05/06/1988, 00:00:00	A-	500-80-2606	Arboriculturist	Kayla Thompson	"4884 Garrett Cliffs Apt. 801
Lake Stephenport, ME 73448"
1045	Hawaiian	(Decimal('-72.6742055'), Decimal('-13.642508'))	F	28 Apr 2009	O-	852-96-4959	Advertising copywriter	Lisa Schaefer	"PSC 1248, Box 7906
APO AP 20204"
1046	White	(Decimal('-20.6172215'), Decimal('18.831370'))	M	1973/07/18	A+	682-42-8547	Logistics and distribution manager	Sean Wilkerson	"265 Martinez Mountains Suite 442
Stanleybury, DE 44737"
1047	Black	(Decimal('-31.608804'), Decimal('122.856256'))	F	1906/11/07	B+	847-97-8175	Oceanographer	Diana Ellison	"49340 Beck Hill Apt. 740
Adamsshire, CO 49888"
1048	White	(Decimal('88.6923675'), Decimal('144.694448'))	M	1952/12/09	A-	132-64-3464	Secondary school teacher	Charles Howell	"6430 Todd Turnpike Apt. 082
Charlesfort, IL 97025"
1049	White	(Decimal('13.4550665'), Decimal('-88.089416'))	F	02/15/1963, 00:00:00	O+	806-57-4521	Control and instrumentation engineer	Madison Lambert	"00209 Lisa Mission Suite 973
Torresville, SD 06844"
1050	White	(Decimal('-11.4849735'), Decimal('-7.255210'))	F	1998/08/29	O-	271-04-6275	Therapist, music	Denise Williams	"5105 Cobb Lights Suite 138
Ortizview, ND 15319"
1051	White	(Decimal('12.341822'), Decimal('-93.725603'))	F	04/14/1923, 00:00:00	A-	427-74-1435	Ambulance person	Dr. Nicole Robinson DDS	"0736 Alan Spring
East Lindashire, ID 58935"
1052	Black	(Decimal('-46.6969875'), Decimal('85.369889'))	F	06/02/1908, 00:00:00	AB+	407-12-3766	Oncologist	Allison Turner	"3840 Samantha Vista
Wolfton, CT 23465"
1053	White	(Decimal('54.894089'), Decimal('-62.630202'))	M	1994/09/13	B-	230-63-6881	Risk manager	Daniel Bond	"66913 Joseph Field Suite 249
Santanabury, MT 32854"
1054	Black	(Decimal('-8.261021'), Decimal('155.440389'))	F	26 Sep 1993	B+	582-83-9400	Engineer, petroleum	Laura Wilson	"387 Gonzales Plains
West Adam, IN 66340"
1055	Asian	(Decimal('-18.9518225'), Decimal('130.624667'))	M	2000-12-10	B+	884-11-3979	Engineer, energy	Stephen Perkins	"7926 Kathy Fords
Garybury, IL 96987"
1056	Black	(Decimal('-13.382924'), Decimal('-174.863748'))	M	2018-03-02	B-	150-33-8538	Surveyor, mining	Adam Brown	"87506 Evans Island Suite 224
North Renee, NJ 59263"
1057	White	(Decimal('1.3067155'), Decimal('63.554559'))	M	12/06/1982, 00:00:00	A-	099-88-9796	Call centre manager	Darryl Zuniga	"3659 James Corner Apt. 097
Stoutside, WI 70568"
